cell_type	tissue	p	p_adj	rho
bronchial smooth muscle cell	lung	0.0748984273101326	0.169769768569634	-0.53
fibroblast of lung	lung	0.120373421126733	0.233868361046224	-0.47
vein endothelial cell	lung	0.714322824120893	0.823287322715605	0.12
adventitial cell	lung	0.00348246997565989	0.0215279962131702	-0.77
myeloid dendritic cell	lung	0.783996045084312	0.859866630092471	-0.089
smooth muscle cell of the pulmonary artery	lung	0.261578186302479	0.411426273986638	-0.37
pulmonary interstitial fibroblast	lung	0.00293394979386125	0.020098577691794	-0.83
dendritic cell	lung	0.981852529227241	1	0.0089
endothelial cell of lymphatic vessel	lung	0.365728020763813	0.507540926774272	-0.32
non-classical monocyte	lung	0.257796300724306	0.411426273986638	-0.35
classical monocyte	lung	0.042867980523988	0.131306270726041	-0.59
B cell	lung	3.27176043634309e-06	0.00022247970967133	-0.95
CD4-positive, alpha-beta T cell	lung	0.870264176150142	0.910430215049379	-0.064
NK cell	lung	0.858681903795413	0.910430215049379	0.065
type II pneumocyte	lung	0.518674116925971	0.665468678320113	0.21
ciliated columnar cell of tracheobronchial tree	lung	0.000403407552165116	0.00457195225787131	-0.9
CD8-positive, alpha-beta T cell	lung	0.000399858433356633	0.00457195225787131	-0.88
neutrophil	lung	2.76949140257836e-05	0.000878348830464942	0.92
leukocyte	lung	0.537860849073946	0.668885820110094	0.28
club cell of bronchiole	lung	0.0348496847515441	0.11848892815525	-0.67
pericyte cell	lung	0.0512640282404263	0.139438156813959	-0.63
regulatory T cell	lung	0.00660265592724445	0.0374150502543852	-0.82
T cell	lung	0.0139705658226514	0.0593749047462686	-0.78
mature NK T cell	liver	0.284368159961352	0.411426273986638	-0.47
hepatocyte	liver	0.840302065292714	0.906992705395311	-0.094
endothelial cell of hepatic sinusoid	liver	1	1	0
Kupffer cell	liver	0.284368159961352	0.411426273986638	-0.47
myeloid leukocyte	liver	0.015307992057825	0.0612319682313001	-0.85
B cell	liver	0.00132792543499127	0.0128998470827723	-0.94
neutrophil	liver	0.191744357341423	0.342866350851722	0.62
T cell	liver	1	1	0
NK cell	liver	0.284368159961352	0.411426273986638	-0.47
CD4-positive, alpha-beta T cell	liver	0.305574918847238	0.432897801700254	-0.58
skeletal muscle satellite cell	muscle	0.0737648859481016	0.169769768569634	-0.49
macrophage	muscle	0.00295567318996971	0.020098577691794	-0.73
mesenchymal stem cell	muscle	0.0444124150985139	0.131306270726041	-0.54
endothelial cell	muscle	0.0737648859481016	0.169769768569634	-0.49
B cell	muscle	0.0343799336151687	0.11848892815525	-0.57
T cell	muscle	3.87506836969827e-05	0.000878348830464942	-0.88
ependymal cell	brain	0.665204586724967	0.779895032712031	0.18
astrocyte	brain	0.1052168891348	0.210433778269601	-0.58
oligodendrocyte	brain	0.0744379648909794	0.169769768569634	-0.62
endothelial cell	brain	0.0105770119646291	0.0513740581139126	-0.79
neuron	brain	0.587675346582225	0.713605777992702	0.21
medium spiny neuron	brain	0.605678067890899	0.722563309062827	-0.24
interneuron	brain	0.0298650771953993	0.112823624960397	0.76
oligodendrocyte precursor cell	brain	0.126870366923671	0.239644026411378	-0.55
neuronal stem cell	brain	0.196643936517899	0.342866350851722	-0.47
Bergmann glial cell	brain	0.445474415456768	0.582543466366542	0.35
brain pericyte	brain	0.38787678878733	0.527512432750769	-0.33
CD8-positive, alpha-beta T cell	brain	0.00154742121454093	0.0131530803235979	-0.91
mature NK T cell	brain	0.0405193263538342	0.131205437717177	-0.89
neuroepithelial cell	brain	0.748868450023527	0.84871757669333	-0.17
T cell	brain	0.779057342614547	0.859866630092471	0.11
basal cell of epidermis	skin	0.202750555511042	0.344675944368772	-0.44
epidermal cell	skin	0.541010589794929	0.668885820110094	0.22
bulge keratinocyte	skin	0.0991645536139429	0.204339080174185	-0.55
keratinocyte stem cell	skin	0.0495541892742467	0.139438156813959	0.67
T cell	skin	0.0560144448657999	0.146499317341323	-0.69
macrophage	kidney	0.217661443436464	0.360999467162917	-0.35
fenestrated cell	kidney	0.094567808306008	0.200956592650267	-0.46
mesangial cell	kidney	0.00890412632705201	0.0465754300184259	-0.69
kidney loop of Henle ascending limb epithelial cell	kidney	0.000324992549946118	0.00457195225787131	-0.82
kidney collecting duct principal cell	kidney	0.0837132585808019	0.183629083338533	-0.48
epithelial cell of proximal tubule	kidney	0.274102523956164	0.411426273986638	0.31
kidney collecting duct epithelial cell	kidney	0.0132594158781185	0.0593749047462686	-0.64
B cell	kidney	0.181014990264453	0.33267619832386	0.41
T cell	kidney	0.403179148574401	0.537572198099201	0.27
